intentRecognized,intentScore,inputSentence,spellcheckedSentence,spellingErrors,luisSpellCheck,allEntitiesRecognized,numberEntities,originCity,destinationCity,budget,startDate,numberChildren,numberAdults
true,0.3808947,is there a flight that leaves Lauro de Freitas,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Nakhodka,,false,false,true,1,true,,,,,
true,0.9895118,I want to fly from Secunderabad,,false,false,true,1,true,,,,,
true,0.5854065,is there any way to travel from Iwo,,false,false,false,1,false,,,,,
false,0.704506,is there a flight that leaves Sittwe,,false,false,true,1,true,,,,,
true,0.8764289,can I go from Stavanger,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Karabağlar,,false,false,true,1,true,,,,,
true,0.997493565,I want to fly from Kanchipuram,,false,false,true,1,true,,,,,
false,0.704506,is there a flight that leaves Atyrau,,false,false,true,1,true,,,,,
true,0.5413061,is there any way to travel from Orekhovo-Borisovo,,false,false,false,1,false,,,,,
true,0.625283062,can I depart from Chandannagar,,false,false,true,1,true,,,,,
true,0.566267848,to Greensboro,,false,false,true,1,,true,,,,
true,0.8243385,can we depart from Nizhnekamsk,,false,false,true,1,,true,,,,
true,0.982375443,and to add I want to go to Pátra,,false,false,true,1,,true,,,,
false,0.709700644,to Beylikdüzü,,false,false,true,1,,true,,,,
true,0.9990125,we want to fly up to Yuci,,false,false,true,1,,true,,,,
true,0.7742285,to go to Long Xuyên,,false,false,true,1,,true,,,,
true,0.75523895,to go to Aïn Beïda,,false,false,true,1,,true,,,,
true,0.817140043,can we depart from Zarqa,,false,false,true,1,,true,,,,
false,0.822060347,to Tando Allahyar,,false,false,true,1,,true,,,,
true,0.982375443,and to add I want to go to Chalco,,false,false,true,1,,true,,,,
true,0.962364137,and to add I want to go to Suzuka,,false,false,true,1,,true,,,,
true,0.823041737,can we depart from Salé Al Jadida,,false,false,false,1,,false,,,,
true,0.9979781,I want to fly up to Kamyshin,,false,false,true,1,,true,,,,
true,0.982375443,and to add I want to go to Bahawalpur,,false,false,true,1,,true,,,,
true,0.758079231,to go to Batam,,false,false,false,1,,false,,,,
true,0.830123544,can we depart from Puerto Cabello,,false,false,true,1,,true,,,,
true,0.448984921,my destination is Ruda Śląska,,false,false,false,1,,false,,,,
true,0.96694833,"my destination is Washington, D.C.",,false,false,false,1,,false,,,,
true,0.998567164,we want to fly up to Torrejón de Ardoz,,false,false,true,1,,true,,,,
true,0.559085548,to Iloilo,,false,false,true,1,,true,,,,
true,0.7929927,to go to Hamamatsu,,false,false,true,1,,true,,,,
true,0.7929927,to go to Brazzaville,,false,false,true,1,,true,,,,
false,0.709700644,to Severnyy,,false,false,true,1,,true,,,,
true,0.9979781,I want to fly up to Rizhao,,false,false,true,1,,true,,,,
true,0.9661395,to go to Kochi,,false,false,true,1,,true,,,,
true,0.5652378,to Islamabad,,false,false,true,1,,true,,,,
true,0.9935223,to go to Tokyo,,false,false,true,1,,true,,,,
false,0.709700644,to Barddhamān,,false,false,true,1,,true,,,,
true,0.9990125,we want to fly up to Hakodate,,false,false,true,1,,true,,,,
true,0.7562109,to go to Lleida,,false,false,true,1,,true,,,,
true,0.834847,to go to Sants-Montjuïc,,false,false,false,1,,false,,,,
true,0.982375443,and to add I want to go to Qurayyat,,false,false,true,1,,true,,,,
true,0.818967044,can we depart from Cuenca,,false,false,true,1,,true,,,,
true,0.625283062,can I depart from Peristéri,,false,false,true,1,,true,,,,
true,0.7929927,to go to Madhyamgram,,false,false,true,1,,true,,,,
true,0.5836434,my destination is Pinar del Río,,false,false,true,1,,true,,,,
true,0.456652343,my destination is Hospet,,false,false,true,1,,true,,,,
true,0.7057228,to Pachuca de Soto,,false,false,true,1,,true,,,,
true,0.9793114,and to add we want to go to Gaziantep,,false,false,true,1,,true,,,,
true,0.5617166,to Messina,,false,false,true,1,,true,,,,
true,0.4572613,my destination is Tacloban,,false,false,true,1,,true,,,,
true,0.7929927,to go to Suriāpet,,false,false,true,1,,true,,,,
false,0.575623333,my destination is Iksan,,false,false,true,1,,true,,,,
true,0.77694726,to go to Fontana,,false,false,true,1,,true,,,,
true,0.982375443,and to add I want to go to Arāk,,false,false,true,1,,true,,,,
true,0.9701461,and to add I want to go to Santander,,false,false,true,1,,true,,,,
true,0.8243385,can we depart from Douma,,false,false,true,1,,true,,,,
true,0.5570872,to Kunming,,false,false,true,1,,true,,,,
true,0.625283062,can I depart from Novocherkassk,,false,false,true,1,,true,,,,
false,0.709700644,to Culiacán,,false,false,true,1,,true,,,,
true,0.907131135,I broke my piggy bank and got  2152 €.,,false,false,true,1,,,true,,,
true,0.7810159,does this budget suffice: euro 4125.,,false,false,false,1,,,false,,,
true,0.946588457,we saved up £ 3972.,,false,false,true,1,,,true,,,
true,0.984611452,my budget is 322 $.,,false,false,true,1,,,true,,,
true,0.9983596,how about 2184 $.,,false,false,true,1,,,true,,,
true,0.862954259,how about £ 2254.,,false,false,true,1,,,true,,,
true,0.9940163,my budget is 2761 $.,,false,false,true,1,,,true,,,
true,0.5865252,"I wanna go all out, I got euro 4586.",,false,false,false,1,,,false,,,
true,0.9036467,I broke my piggy bank and got  GBP 1627.,,false,false,false,1,,,false,,,
true,0.975366652,my budget is USD 4490.,,false,false,false,1,,,false,,,
true,0.9743211,I only have 3896 pounds.,,false,false,true,1,,,true,,,
true,0.9924574,we broke my piggy bank and got  $ 4924.,,false,false,true,1,,,true,,,
true,0.979568243,I saved up 3602 USD.,,false,false,true,1,,,true,,,
true,0.957999766,I saved up dollars 1409.,,false,false,false,1,,,false,,,
true,0.907134354,does this budget suffice: 690 USD.,,false,false,true,1,,,true,,,
true,0.968623936,we only have GBP 1314.,,false,false,false,1,,,false,,,
true,0.934961855,we saved up pounds 1048.,,false,false,false,1,,,false,,,
true,0.943373859,we broke my piggy bank and got  € 891.,,false,false,true,1,,,true,,,
true,0.862954259,how about 1745 £.,,false,false,true,1,,,true,,,
true,0.582109153,"I wanna go all out, I got 2377 pounds.",,false,false,true,1,,,true,,,
true,0.941890538,the budget is running low.. only got 1733 USD.,,false,false,true,1,,,true,,,
true,0.8482556,the budget is running low.. only got EUR 3011.,,false,false,false,1,,,false,,,
true,0.7801504,does this budget suffice: £ 2342.,,false,false,true,1,,,true,,,
true,0.986881733,"we got lots of money, to be precise 40 $.",,false,false,true,1,,,true,,,
true,0.945425,we saved up 239800 ¥.,,false,false,true,1,,,true,,,
true,0.9069203,does this budget suffice: USD 3071.,,false,false,false,1,,,false,,,
true,0.9191336,"we got lots of money, to be precise ¥ 111900.",,false,false,true,1,,,true,,,
true,0.7546254,does this budget suffice: 385700 ¥.,,false,false,true,1,,,true,,,
true,0.8185481,"we wanna go all out, I got yen 1137.",,false,false,false,1,,,false,,,
true,0.841852844,how about JPY 2629.,,false,false,false,1,,,false,,,
true,0.898319066,I saved up 3234 yen.,,false,false,true,1,,,true,,,
true,0.8837361,how about euro 3335.,,false,false,false,1,,,false,,,
true,0.8683576,"I got lots of money, to be precise 4140 euro.",,false,false,true,1,,,true,,,
true,0.832740247,the budget is running low.. only got 2712 euro.,,false,false,true,1,,,true,,,
true,0.987692654,we only have euro 4491.,,false,false,false,1,,,false,,,
true,0.848457754,the budget is running low.. only got GBP 1156.,,false,false,false,1,,,false,,,
true,0.905782759,does this budget suffice: dollars 40.,,false,false,true,1,,,true,,,
true,0.867551565,"I got lots of money, to be precise 3247 yen.",,false,false,true,1,,,true,,,
true,0.9035392,I broke my piggy bank and got  4878 GBP.,,false,false,true,1,,,true,,,
true,0.864844739,my budget is pounds 1522.,,false,false,false,1,,,false,,,
true,0.9232413,"we got lots of money, to be precise 4733 pounds.",,false,false,true,1,,,true,,,
true,0.9272019,"we got lots of money, to be precise £ 1520.",,false,false,true,1,,,true,,,
true,0.866135657,"I got lots of money, to be precise EUR 3440.",,false,false,false,1,,,false,,,
true,0.981431961,we saved up USD 647.,,false,false,false,1,,,false,,,
true,0.9085312,I broke my piggy bank and got  pounds 1461.,,false,false,false,1,,,false,,,
true,0.860343754,how about 406800 ¥.,,false,false,true,1,,,true,,,
true,0.973825,the budget is running low.. only got 3386 $.,,false,false,true,1,,,true,,,
true,0.8625181,how about GBP 3928.,,false,false,false,1,,,false,,,
true,0.8613941,my budget is 207500 ¥.,,false,false,true,1,,,true,,,
true,0.997339666,we saved up 2297 $.,,false,false,true,1,,,true,,,
true,0.9849615,we wanna go yesterday.,,false,false,true,1,,,,true,,
true,0.9951457,we wanna go Wednesday.,,false,false,true,1,,,,true,,
true,0.7488418,ensure departure is sometime Tuesday.,,false,false,true,1,,,,true,,
true,0.339261323,departure next month.,,false,false,true,1,,,,true,,
true,0.978301942,fly starting Wednesday.,,false,false,false,1,,,,false,,
true,0.9209205,departure for September.,,false,false,false,1,,,,false,,
false,0.7765842,we absolutely must leave tomorrow.,,false,false,true,1,,,,true,,
true,0.903925538,let us go yesterday.,,false,false,true,1,,,,true,,
true,0.984786153,I want to go Thursday.,,false,false,true,1,,,,true,,
true,0.491816044,willing to depart Tuesday.,,false,false,true,1,,,,true,,
true,0.6184945,I absolutely must leave for September.,,false,false,false,1,,,,false,,
true,0.971212,I want to leave due December.,,false,false,false,1,,,,false,,
true,0.980615556,I wanna go next Friday.,,false,false,true,1,,,,true,,
true,0.908445656,ensure departure is sometime Sunday.,,false,false,true,1,,,,true,,
true,0.9930882,we want to leave Tuesday.,,false,false,true,1,,,,true,,
true,0.9902148,I want to leave middle of August.,,false,false,true,1,,,,true,,
true,0.230997145,willing to depart next month.,,false,false,true,1,,,,true,,
true,0.998933434,I want to go Sunday.,,false,false,true,1,,,,true,,
true,0.9539886,we want to leave in a couple of months.,,false,false,true,1,,,,true,,
true,0.9820115,fly sometime Tuesday.,,false,false,true,1,,,,true,,
false,0.7083957,gotta leave July for sure.,,false,false,false,1,,,,false,,
false,0.5430515,make sure the departure date is Wednesday.,,false,false,true,1,,,,true,,
true,0.8660535,fly sometime in the vincinity of February.,,false,false,false,1,,,,false,,
false,0.133153528,gotta leave in April.,,false,false,false,1,,,,false,,
true,0.8747191,"want to go March, I guess.",,false,false,false,1,,,,false,,
true,0.7048944,we absolutely must leave middle of August.,,false,false,true,1,,,,true,,
true,0.638232052,departure Thursday.,,false,false,true,1,,,,true,,
true,0.985364139,we want to leave due December.,,false,false,false,1,,,,false,,
true,0.9308971,departure Sunday.,,false,false,true,1,,,,true,,
true,0.230802909,gotta leave Saturday.,,false,false,true,1,,,,true,,
true,0.981732249,I want to leave next Friday.,,false,false,true,1,,,,true,,
true,0.924528837,want to go January.,,false,false,true,1,,,,true,,
false,0.6257124,I absolutely must leave Wednesday.,,false,false,true,1,,,,true,,
false,0.562001348,I absolutely must leave January.,,false,false,true,1,,,,true,,
true,0.991605639,we wanna go in a year.,,false,false,true,1,,,,true,,
false,0.406773657,I absolutely must leave due December.,,false,false,false,1,,,,false,,
true,0.983605862,we wanna go in April.,,false,false,false,1,,,,false,,
true,0.9945181,let us go around May.,,false,false,true,1,,,,true,,
true,0.974122763,let me leave June if possible.,,false,false,false,1,,,,false,,
true,0.970639348,want to go tomorrow.,,false,false,true,1,,,,true,,
true,0.985809863,we want to leave yesterday.,,false,false,true,1,,,,true,,
true,0.7487567,ensure departure is sometime next Friday.,,false,false,true,1,,,,true,,
true,0.9547585,let us go Friday.,,false,false,true,1,,,,true,,
false,0.5869693,make sure the departure date is Friday.,,false,false,true,1,,,,true,,
true,0.9981035,we want to leave for September.,,false,false,false,1,,,,false,,
true,0.9674006,fly starting next Friday.,,false,false,false,1,,,,false,,
true,0.9978532,want to go Monday.,,false,false,true,1,,,,true,,
true,0.9856122,I wanna go Friday.,,false,false,true,1,,,,true,,
true,0.877966166,let me leave in April.,,false,false,false,1,,,,false,,
false,0.170142978,gotta leave next month.,,false,false,true,1,,,,true,,
false,0.37046513,I'm stuck with  1 newborn.,,false,false,true,1,,,,,true,
true,0.9788054,in addition I have  three youngsters.,,false,false,true,1,,,,,true,
true,0.9746563,important: I have  ten children.,,false,false,true,1,,,,,true,
true,0.972703934,in addition I have  8 children.,,false,false,true,1,,,,,true,
true,0.8822819,in addition we have  4 daughters.,,false,false,true,1,,,,,true,
true,0.961220562,in addition we have  five sons.,,false,false,true,1,,,,,true,
true,0.9935502,maybe it's good to mention I have  4 newborns.,,false,false,true,1,,,,,true,
true,0.9866086,the trip needs to be accommodated  for  5 children.,,false,false,true,1,,,,,true,
true,0.999214947,maybe it's good to mention I have  6 youngsters.,,false,false,true,1,,,,,true,
true,0.993617237,the trip needs to be accommodated  for  four youngsters.,,false,false,true,1,,,,,true,
true,0.8955268,in addition I have  seven newborns.,,false,false,true,1,,,,,true,
false,0.3891275,I'm stuck with  9 sons.,,false,false,true,1,,,,,true,
true,0.413013,the trip needs to be accommodated  for  nine sons.,,false,false,true,1,,,,,true,
true,0.988974035,maybe it's good to mention I have  6 newborns.,,false,false,true,1,,,,,true,
true,0.9952935,in addition we have  five children.,,false,false,true,1,,,,,true,
true,0.9678235,in addition I have  9 children.,,false,false,true,1,,,,,true,
true,0.7559144,I'm stuck with  5 newborns.,,false,false,true,1,,,,,true,
true,0.5361307,I are stuck with  seven daughters.,,false,false,true,1,,,,,true,
true,0.9988517,maybe it's good to mention I have  6 children.,,false,false,true,1,,,,,true,
true,0.7831959,the trip needs to be accommodated  for  8 kids.,,false,false,true,1,,,,,true,
true,0.9994992,maybe it's good to mention we have  eight kids.,,false,false,true,1,,,,,true,
true,0.884772837,maybe it's good to mention I have  six newborns.,,false,false,true,1,,,,,true,
true,0.987451553,in addition we have  four newborns.,,false,false,true,1,,,,,true,
true,0.779199362,important: I have  10 kids.,,false,false,true,1,,,,,true,
false,0.662058949,I'm stuck with  six youngsters.,,false,false,true,1,,,,,true,
true,0.981827736,in addition I have  five kids.,,false,false,true,1,,,,,true,
true,0.923486769,in addition we have  three sons.,,false,false,true,1,,,,,true,
true,0.9832949,important: we have  2 kids.,,false,false,true,1,,,,,true,
true,0.9712139,important: we have  nine youngsters.,,false,false,true,1,,,,,true,
true,0.6607113,the trip needs to be accommodated  for  7 daughters.,,false,false,true,1,,,,,true,
false,0.5796457,I'm stuck with  6 youngsters.,,false,false,true,1,,,,,true,
true,0.9919632,in addition we have  two youngsters.,,false,false,true,1,,,,,true,
true,0.8860374,we are stuck with  4 children.,,false,false,true,1,,,,,true,
true,0.940526843,in addition we have  eight sons.,,false,false,true,1,,,,,true,
true,0.999183059,maybe it's good to mention we have  ten kids.,,false,false,true,1,,,,,true,
true,0.92827034,important: we have  7 newborns.,,false,false,true,1,,,,,true,
true,0.6594263,I'm stuck with  2 youngsters.,,false,false,true,1,,,,,true,
true,0.969822347,important: we have  9 kids.,,false,false,true,1,,,,,true,
true,0.9842521,in addition we have  eight kids.,,false,false,true,1,,,,,true,
true,0.9823253,important: we have  three kids.,,false,false,true,1,,,,,true,
true,0.7815656,important: I have  8 sons.,,false,false,true,1,,,,,true,
true,0.997701645,important: I have  5 children.,,false,false,true,1,,,,,true,
true,0.655594468,I are stuck with  2 kids.,,false,false,true,1,,,,,true,
true,0.503510833,I are stuck with  8 youngsters.,,false,false,true,1,,,,,true,
true,0.930455565,in addition I have  9 kids.,,false,false,true,1,,,,,true,
true,0.9993398,maybe it's good to mention we have  4 kids.,,false,false,true,1,,,,,true,
true,0.384023964,I'm stuck with  7 sons.,,false,false,true,1,,,,,true,
true,0.780190766,important: I have  8 daughters.,,false,false,true,1,,,,,true,
false,0.3890952,I are stuck with  10 daughters.,,false,false,true,1,,,,,true,
true,0.7564079,I'm stuck with  5 sons.,,false,false,true,1,,,,,true,
true,0.798504353,important: I have 4 women.,,false,false,true,1,,,,,,true
true,0.9048637,the trip needs to be accommodated  for 5 men.,,false,false,true,1,,,,,,true
true,0.7674396,we are stuck with 10 aged people.,,false,false,true,1,,,,,,true
true,0.9624748,important: I have 6 aged people.,,false,false,true,1,,,,,,true
true,0.41203922,I are stuck with ten mature persons.,,false,false,true,1,,,,,,true
true,0.841295063,important: we have 1 aged person.,,false,false,true,1,,,,,,true
true,0.393427879,I'm stuck with two women.,,false,false,true,1,,,,,,true
true,0.484618455,the trip needs to be accommodated  for 9 men.,,false,false,true,1,,,,,,true
false,0.239277408,I are stuck with 6 men.,,false,false,true,1,,,,,,true
true,0.374747157,the trip needs to be accommodated  for 1 person.,,false,false,true,1,,,,,,true
true,0.666629,I'm stuck with 1 adult.,,false,false,true,1,,,,,,true
true,0.494895041,I are stuck with eight men.,,false,false,true,1,,,,,,true
true,0.723866642,I'm stuck with seven adults.,,false,false,true,1,,,,,,true
true,0.5251992,I'm stuck with ten adults.,,false,false,true,1,,,,,,true
true,0.996047437,maybe it's good to mention I have 4 women.,,false,false,true,1,,,,,,true
true,0.831106961,important: we have 6 men.,,false,false,true,1,,,,,,true
true,0.9332072,the trip needs to be accommodated  for four mature persons.,,false,false,true,1,,,,,,true
false,0.205909863,I are stuck with 8 women.,,false,false,true,1,,,,,,true
true,0.885128,the trip needs to be accommodated  for 6 aged people.,,false,false,true,1,,,,,,true
true,0.306075066,I'm stuck with 6 adults.,,false,false,true,1,,,,,,true
true,0.8048342,important: we have 3 mature persons.,,false,false,true,1,,,,,,true
true,0.5651326,the trip needs to be accommodated  for ten women.,,false,false,true,1,,,,,,true
true,0.928200662,important: I have 2 adults.,,false,false,true,1,,,,,,true
true,0.966424465,in addition we have two adults.,,false,false,true,1,,,,,,true
true,0.387791455,we are stuck with 9 women.,,false,false,true,1,,,,,,true
false,0.7714553,I'm stuck with 3 women.,,false,false,true,1,,,,,,true
true,0.527525663,we are stuck with 4 mature persons.,,false,false,true,1,,,,,,true
true,0.331372529,I are stuck with 9 mature persons.,,false,false,true,1,,,,,,true
true,0.998919368,maybe it's good to mention we have nine aged people.,,false,false,true,1,,,,,,true
true,0.9920126,maybe it's good to mention we have 10 women.,,false,false,true,1,,,,,,true
true,0.387185425,the trip needs to be accommodated  for 10 adults.,,false,false,true,1,,,,,,true
true,0.9492518,important: we have 4 adults.,,false,false,true,1,,,,,,true
true,0.4180015,I are stuck with 2 mature persons.,,false,false,true,1,,,,,,true
true,0.884209335,important: we have 4 mature persons.,,false,false,true,1,,,,,,true
true,0.997898161,important: I have four aged people.,,false,false,true,1,,,,,,true
true,0.8346069,in addition we have 1 mature person.,,false,false,true,1,,,,,,true
true,0.68937844,I'm stuck with eight adults.,,false,false,true,1,,,,,,true
true,0.9989758,maybe it's good to mention we have two adults.,,false,false,true,1,,,,,,true
false,0.3776822,I'm stuck with nine men.,,false,false,true,1,,,,,,true
true,0.9710905,important: we have 7 adults.,,false,false,true,1,,,,,,true
true,0.9755725,important: I have 9 aged people.,,false,false,true,1,,,,,,true
true,0.9196523,important: I have five mature persons.,,false,false,true,1,,,,,,true
true,0.6827929,the trip needs to be accommodated  for two men.,,false,false,true,1,,,,,,true
true,0.6050748,the trip needs to be accommodated  for nine adults.,,false,false,true,1,,,,,,true
true,0.8919409,maybe it's good to mention I have six women.,,false,false,true,1,,,,,,true
true,0.6665468,the trip needs to be accommodated  for two women.,,false,false,true,1,,,,,,true
true,0.9960268,maybe it's good to mention I have 8 women.,,false,false,true,1,,,,,,true
true,0.318969458,we are stuck with nine women.,,false,false,true,1,,,,,,true
true,0.9590939,in addition I have 6 aged people.,,false,false,true,1,,,,,,true
false,0.8464667,important: we have 3 men.,,false,false,true,1,,,,,,true
false,0.4569026,is therre a flight tjhat leaveas hortolândia ,,true,false,true,1,true,,,,,
false,0.76036483,iws tghere a flight that leafves móstoles ,,true,false,false,1,false,,,,,
true,0.8891165,csan we fply from biên hòa ,,true,false,true,1,true,,,,,
false,0.501729,is thetre ahny way to trqavel frojm bellary ,,true,false,true,1,true,,,,,
false,0.8476241,can i depart ffrom klotli ,,true,false,false,1,false,,,,,
true,0.5155909,ids there a flight tnhat leavdes nkongsamba ,,true,false,true,1,true,,,,,
true,0.93441546,i want tio foly fronm juan díaz ,,true,false,false,1,false,,,,,
true,0.388852775,ids theere any way to tfravel frokm myeik ,,true,false,false,1,false,,,,,
true,0.927759945,i want tio flty from arisgh ,,true,false,false,1,false,,,,,
true,0.660183668,csan i depart from portmorde ,,true,false,false,1,false,,,,,
false,0.287627965,is tnhere any way tlo trzavel from lagtakia ,,true,false,false,1,false,,,,,
true,0.8149507,cahn i ddepart from gaya ,,true,false,false,1,false,,,,,
false,0.6366162,can wwe depart frokm khabarovsjk ,,true,false,false,1,false,,,,,
false,0.6118823,is there a flight tnhat ldeaves blorough pzark ,,true,false,false,1,false,,,,,
true,0.8988688,csan wwe fly ferom newport ,,true,false,false,1,false,,,,,
true,0.690029,iws there any way to travekl friom saplerno ,,true,false,false,1,false,,,,,
false,0.8476241,can i depart ferom pakpzattan ,,true,false,false,1,false,,,,,
true,0.570357859,can wde fply from ankqara ,,true,false,false,1,false,,,,,
true,0.634396732,can i glo friom bāneh ,,true,false,false,1,false,,,,,
true,0.98345387,i wanrt to fly ffrom djurg ,,true,false,false,1,false,,,,,
true,0.631994843,ias theere any way tio travrel from vabn nuys ,,true,false,false,1,false,,,,,
true,0.408587575,is tghere any wzay to trafvel from shuangcgheng ,,true,false,false,1,false,,,,,
true,0.942928255,we wzant to fply frpom abobo ,,true,false,false,1,false,,,,,
true,0.891401231,cabn i foly from laizhou ,,true,false,true,1,true,,,,,
true,0.717987537,czan we depart ftrom erfjurt ,,true,false,false,1,false,,,,,
true,0.834784746,can i fluy from gashyua ,,true,false,false,1,false,,,,,
false,0.9770385,is there a flighgt that lweaves salamancza ,,true,false,false,1,false,,,,,
true,0.9322932,czan i fly friom rawalpindi ,,true,false,true,1,true,,,,,
true,0.9915106,we want tlo foly from ormloc ,,true,false,false,1,false,,,,,
true,0.660183668,cqan i depart from maszaya ,,true,false,false,1,false,,,,,
true,0.8859637,i want to foly frlom nobva iguaçu ,,true,false,false,1,false,,,,,
false,0.41717127,is thdere a flight tghat leaves mpogi das cruxzes ,,true,false,false,1,false,,,,,
false,0.5107568,is tnhere ahny wzay to travel fronm brakpan ,,true,false,false,1,false,,,,,
false,0.7722745,can wre depart ferom guangyuamn ,,true,false,false,1,false,,,,,
true,0.3053548,ias there a flight thsat leaves quewens ,,true,false,false,1,false,,,,,
true,0.570357859,can wre depargt from mzaidstone ,,true,false,false,1,false,,,,,
true,0.9320414,camn i fly ftrom jamshedpur ,,true,false,true,1,true,,,,,
true,0.7272061,ids there any way to ttravel frojm tarragonsa ,,true,false,false,1,false,,,,,
true,0.570357859,can wre drepart from jamālpur ,,true,false,true,1,true,,,,,
false,0.425943375,iws tjhere a flight that leaves lsauro dwe freitas ,,true,false,false,1,false,,,,,
false,0.26685378,is therwe any wzay to travel frpom nakhodkqa ,,true,false,false,1,false,,,,,
true,0.8013038,i wzant tpo foly from secunderabad ,,true,false,true,1,true,,,,,
false,0.2911094,is tghere any way tpo travel ftrom iewo ,,true,false,false,1,false,,,,,
true,0.5155909,ids there a flight tghat lweaves sittwe ,,true,false,true,1,true,,,,,
true,0.7818189,czan i go ftrom stavanger ,,true,false,true,1,true,,,,,
false,0.520048857,is therre anty way tio travel frojm karabağlar ,,true,false,true,1,true,,,,,
true,0.993000567,i want tlo fly ftrom kanchipurqam ,,true,false,false,1,false,,,,,
false,0.9770385,is there a flighrt that lesaves aytyrau ,,true,false,false,1,false,,,,,
false,0.499163538,is thefre ahny wsay to travel ftrom orekhovo-borisovo ,,true,false,false,1,false,,,,,
false,0.8476241,can i depart frpom chandannatgar ,,true,false,false,1,false,,,,,
true,0.5279231,tpo greensboro ,,true,false,false,1,,false,,,,
false,0.465419,can wre depqart frokm nizhnekamsk ,,true,false,true,1,,true,,,,
true,0.926904857,anfd tpo aedd i want to go to pátra ,,true,false,true,1,,true,,,,
true,0.451940417,tio beylikdüzü ,,true,false,false,1,,false,,,,
true,0.7793279,wwe wsant tpo fply up to yuci ,,true,false,true,1,,true,,,,
true,0.6766999,tlo go to lomng xuyên ,,true,false,false,1,,false,,,,
true,0.6766999,tlo go to aïn beïda ,,true,false,true,1,,true,,,,
true,0.692029,csan wde dwepart from zarqa ,,true,false,true,1,,true,,,,
false,0.822060347,to tandpo aollahyar ,,true,false,false,1,,false,,,,
true,0.914249,and tio adfd i want to go to chaldco ,,true,false,false,1,,false,,,,
true,0.952446043,abnd tlo add i want to gpo to suzyuka ,,true,false,false,1,,false,,,,
true,0.7454579,cqan we depart ffrom salé aol jadida ,,true,false,false,1,,false,,,,
true,0.936772,i want tpo foly up to kamyshin ,,true,false,true,1,,true,,,,
true,0.8893237,and tpo add i wanrt to go to bahawalpur ,,true,false,true,1,,true,,,,
true,0.697862,tlo go to batsam ,,true,false,false,1,,false,,,,
true,0.5442235,can wde depzart fronm puerto cabello ,,true,false,true,1,,true,,,,
